iter	Passed	Remaining
146	259	1508
147	260	1501
148	261	1493
149	262	1486
150	263	1479
151	263	1471
152	264	1465
153	265	1459
154	266	1453
155	267	1447
156	268	1441
157	269	1436
158	270	1430
159	271	1423
160	272	1417
161	272	1411
162	273	1405
163	274	1400
164	275	1394
165	276	1388
166	277	1382
167	277	1376
168	279	1371
169	280	1367
170	281	1362
171	282	1357
172	282	1352
173	283	1347
174	284	1342
175	285	1336
176	286	1331
177	287	1326
178	287	1320
179	288	1316
180	289	1309
181	290	1304
182	291	1300
183	292	1296
184	293	1293
185	294	1288
186	295	1283
187	296	1279
188	297	1275
189	298	1271
190	298	1266
191	299	1261
192	300	1256
193	301	1252
194	302	1247
195	303	1244
196	304	1242
197	305	1238
198	306	1234
199	307	1230
200	308	1225
201	309	1221
202	309	1216
203	310	1212
204	311	1208
205	312	1203
206	313	1199
207	314	1196
208	315	1193
209	316	1191
210	317	1187
211	318	1183
212	319	1179
213	320	1175
214	320	1171
215	321	1167
216	322	1164
217	323	1160
218	324	1156
219	325	1152
220	325	1149
221	327	1145
222	328	1143
223	329	1141
224	330	1137
225	331	1134
226	331	1130
227	332	1126
228	333	1122
229	334	1119
230	335	1115
231	335	1111
232	336	1107
233	337	1103
234	338	1100
235	339	1098
236	340	1095
237	341	1093
238	342	1089
239	343	1086
240	343	1082
241	344	1079
242	345	1076
243	346	1072
244	346	1068
245	347	1065
246	348	1062
247	349	1059
248	350	1056
249	351	1053
250	352	1051
251	353	1049
252	354	1046
253	355	1044
254	356	1041
255	357	1038
256	358	1036
257	359	1033
258	360	1029
259	360	1026
260	361	1024
261	362	1021
262	363	1019
263	364	1017
264	365	1014
265	366	1011
266	367	1008
267	367	1005
268	368	1001
269	369	998
270	370	996
271	371	993
272	372	991
273	372	988
274	373	985
275	374	983
276	375	980
277	376	978
278	377	976
279	378	973
280	379	971
281	380	968
282	381	965
283	381	962
284	382	960
285	383	957
286	384	954
287	385	951
288	385	949
289	386	946
290	387	944
291	388	941
292	389	939
293	390	937
294	391	935
295	392	933
296	393	930
297	394	928
298	394	925
299	395	923
300	396	921
301	398	920
302	399	918
303	400	916
304	401	914
305	402	912
306	403	911
307	404	908
308	405	906
309	406	903
310	406	901
311	407	898
312	408	896
313	409	893
314	409	891
315	410	889
316	411	887
317	412	884
318	413	883
319	414	881
320	415	879
321	416	876
322	417	874
323	418	872
324	418	869
325	419	867
326	420	865
327	421	863
328	422	861
329	423	858
330	424	857
331	424	854
332	426	853
333	427	851
334	428	849
335	429	848
336	429	845
337	430	843
338	431	841
339	432	838
340	433	837
341	434	835
342	435	833
343	436	831
344	437	829
345	438	828
346	439	827
347	440	825
348	441	823
349	442	821
350	443	819
351	444	817
352	445	815
353	445	813
354	446	811
355	447	809
356	448	807
357	449	806
358	450	804
359	451	803
360	452	801
361	453	799
362	454	797
363	455	795
364	456	793
365	457	791
366	458	790
367	459	789
368	460	787
369	461	785
370	462	784
371	463	782
372	464	781
373	465	779
374	466	777
375	467	775
376	468	773
377	468	771
378	469	769
379	470	767
380	471	765
381	472	763
382	473	762
383	474	760
384	475	759
385	476	757
386	477	755
387	478	754
388	479	752
389	480	750
390	480	748
391	481	746
392	482	745
393	483	743
394	484	741
395	485	739
396	486	738
397	487	737
398	488	735
399	489	733
400	490	732
401	490	730
402	491	728
403	492	726
404	493	724
405	494	722
406	494	721
407	495	719
408	496	717
409	497	716
410	498	714
411	500	713
412	501	712
413	502	711
414	503	710
415	504	708
416	505	706
417	506	704
418	506	702
419	507	700
420	508	699
421	509	697
422	510	696
423	511	694
424	512	693
425	513	692
426	514	690
427	515	688
428	516	687
429	517	685
430	518	683
431	518	682
432	519	680
433	520	678
434	521	677
435	522	675
436	522	673
437	524	672
438	525	671
439	526	669
440	527	668
441	527	666
442	528	664
443	529	663
444	531	662
445	532	660
446	532	659
447	533	657
448	534	656
449	535	654
450	536	653
451	537	652
452	538	650
453	539	648
454	540	647
455	541	645
456	542	644
457	542	642
458	543	640
459	544	639
460	545	637
461	546	636
462	547	634
463	548	633
464	549	631
465	550	630
466	551	629
467	551	627
468	552	625
469	553	624
470	554	622
471	555	621
472	556	619
473	557	618
474	557	616
475	558	615
476	559	613
477	560	612
478	561	610
479	562	609
480	563	608
481	564	606
482	565	604
483	566	603
484	567	602
485	567	600
