iter	Passed	Remaining
765	873	266
766	874	265
767	875	264
768	876	263
769	876	261
770	877	260
771	878	259
772	879	258
773	880	257
774	881	255
775	881	254
776	882	253
777	883	252
778	884	250
779	885	249
780	885	248
781	886	247
782	887	246
783	888	244
784	889	243
785	890	242
786	891	241
787	892	240
788	893	238
789	894	237
790	895	236
791	895	235
792	896	234
793	897	232
794	898	231
795	900	230
796	900	229
797	902	228
798	903	227
799	904	226
800	904	224
801	905	223
802	906	222
803	907	221
804	908	220
805	909	218
806	909	217
807	910	216
808	911	215
809	912	214
810	913	212
811	914	211
812	916	210
813	918	209
814	919	208
815	919	207
816	920	206
817	921	205
818	922	203
819	923	202
820	923	201
821	924	200
822	925	199
823	926	197
824	927	196
825	927	195
826	928	194
827	929	193
828	931	192
829	932	190
830	933	189
831	934	188
832	935	187
833	936	186
834	936	185
835	937	183
836	938	182
837	939	181
838	940	180
839	940	179
840	941	178
841	942	176
842	943	175
843	944	174
844	945	173
845	947	172
846	948	171
847	948	170
848	949	168
849	950	167
850	951	166
851	952	165
852	953	164
853	953	163
854	954	161
855	955	160
856	956	159
857	957	158
858	958	157
859	959	156
860	960	155
861	961	153
862	962	152
863	963	151
864	964	150
865	965	149
866	966	148
867	967	147
868	968	145
869	969	144
870	969	143
871	970	142
872	971	141
873	972	140
874	973	139
875	974	137
876	975	136
877	976	135
878	977	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
884	983	127
885	984	126
886	985	125
887	986	124
888	987	123
889	988	122
890	989	121
891	990	119
892	991	118
893	992	117
894	993	116
895	994	115
896	995	114
897	996	113
898	996	112
899	997	110
900	998	109
901	999	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	103
907	1005	101
908	1006	100
909	1007	99
910	1008	98
911	1009	97
912	1010	96
913	1011	95
914	1012	94
915	1013	92
916	1014	91
917	1014	90
918	1015	89
919	1016	88
920	1019	87
921	1020	86
922	1022	85
923	1023	84
924	1024	83
925	1025	81
926	1026	80
927	1027	79
928	1028	78
929	1028	77
930	1029	76
931	1030	75
932	1031	74
933	1034	73
934	1035	71
935	1036	70
936	1037	69
937	1038	68
938	1039	67
939	1040	66
940	1041	65
941	1042	64
942	1043	63
943	1044	61
944	1044	60
945	1046	59
946	1047	58
947	1048	57
948	1049	56
949	1050	55
950	1051	54
951	1051	53
952	1052	51
953	1053	50
954	1054	49
955	1055	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	43
961	1061	41
962	1063	40
963	1064	39
964	1065	38
965	1066	37
966	1067	36
967	1068	35
968	1069	34
969	1070	33
970	1071	31
971	1072	30
972	1072	29
973	1073	28
974	1074	27
975	1075	26
976	1078	25
977	1079	24
978	1080	23
979	1081	22
980	1082	20
981	1082	19
982	1083	18
983	1084	17
984	1085	16
985	1086	15
986	1087	14
987	1088	13
988	1089	12
989	1090	11
990	1091	9
991	1092	8
992	1093	7
993	1094	6
994	1095	5
995	1096	4
996	1097	3
997	1098	2
998	1099	1
999	1100	0
